Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
persiantools.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
www.irtextbook.com sadad.shaparak.ir 200 0 0 2549 1303,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0
homaghsoudi.4kia.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
filterbeyrami.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
mitechiran.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
1xchange.org,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
www.google.com sadad.shaparak.ir 200 0 0 48735 421 1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
shivabehpour.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
nexportall-eblugieh-ir.cloud,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
amozsh20.4kia.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
giahine.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
esamikala.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
45e6b32d-c542-4f4c-acf6-b0898fcbb24f.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
coachmall.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
ghalikhane.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
bas24.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
shahrekalla.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
salamat313.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
khayyamteb.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
crm.azinkia.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
fadiyagroup.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
sickfjfjedjfkcifds.site,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
noandishan.irbroker.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
zand-dairy.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
payment-zede.aba.vg,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
zidarolive.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
mehdijafari.pw,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
api.torob.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
yadackhodro.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
www.wifi.shabakieh.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
armaghanelectronic.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
b90b9b7b-17f6-4c08-a686-a253af6954d6.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
iranpath.org,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
gozar98.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
academyit.net,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
hogoma.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
venus-market.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
gelcccc.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
boneban.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
app.ladycake.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
peykezaban.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
www.google.com sadad.shaparak.ir 200 0 0 31674 393,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
psn14.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
vidarayan.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
adelirn.tech,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
trafic.shsk.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
ore-o.top,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
chbgas.artadata.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
sdf.irbrokersite.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
edallt.okzk.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
persiandodi.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
climate.4kia.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
anvaar.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
googleweblight.com sadad.shaparak.ir 200 0 0 48703 426 1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0
sharjino.net,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
tehransrc.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
broofeh.org,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
techlanddez.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
20darsadiha.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
ppt90.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
petneshan.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
bookmax.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
www.whiteplate.net,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
appletelecom.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
sadadpsp.ir sadad.shaparak.ir 200 0 0 38959 452 1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
ig.me,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
15ce2932-5374-4338-8170-4c52c8b1e1d9.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
setayeshonline.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
ladanunderwear.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
robingallery.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
damoon24.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
seikoiran.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
abadan-kala.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
wow-land.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
irani.4kia.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
mail.sth.co.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
golchinazmoon.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
tehranfollow.me,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
mupra.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
sama.uut.ac.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
www.google.com sadad.shaparak.ir 200 0 0 28906 440 1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
fbqq-4l3k-3jv2-0az7.puzzley.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
www.shariaty.ac.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
135.148.121.132,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
matlabtools.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
walkineden.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
parslmc.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
lono.fiload.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
starfollow.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
jakoob.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
ninikamel.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
flights.eligasht.com,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0
shahabdaru.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
firstpanel.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
avandmobile.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
danahoosh.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
panel.payamito.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
guitarno.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
ed.cplto.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
