Date,Price,Open,High,Low,Vol.,Change %,RSI
2/6/2024,43101,"42,707",43375,42574,0.71K,0.92%,18.83457268
2/5/2024,42707,"42,583",43540,42247,1.04K,0.29%,18.67358149
2/4/2024,42583,"43,004",43109,42332,0.63K,-0.98%,21.13824634
2/3/2024,43004,"43,201",43366,42892,0.29K,-0.46%,22.32450412
2/2/2024,43201,"43,088",43477,42560,0.78K,0.26%,22.11897445
2/1/2024,43088,"42,594",43272,41880,0.94K,1.16%,21.20008452
1/31/2024,42594,"42,956",43722,42304,1.29K,-0.84%,23.70147198
1/30/2024,42956,"43,309",43840,42700,1.11K,-0.80%,26.10884227
1/29/2024,43301,"42,047",43301,41833,1.16K,2.98%,23.2387102
1/28/2024,42047,"42,125",42808,41637,0.94K,-0.19%,23.79982533
1/27/2024,42125,"41,821",42204,41405,0.47K,0.73%,23.09135321
1/26/2024,41821,"40,001",42192,39877,2.73K,4.55%,19.37316001
1/25/2024,40001,"40,140",40333,39556,2.30K,-0.35%,20.42700412
1/24/2024,40140,"39,938",40590,39533,1.88K,0.51%,20.01752814
1/23/2024,39938,"39,599",40215,38572,2.78K,0.86%,19.31766768
1/22/2024,39599,"41,679",41775,39461,3.15K,-4.99%,34.45895198
1/21/2024,41679,"41,778",41945,41588,1.24K,-0.24%,35.0834004
1/20/2024,41778,"41,714",41942,41525,1.51K,0.14%,34.87017506
1/19/2024,41719,"41,337",42212,40364,1.55K,0.92%,33.45254679
1/18/2024,41337,"42,778",42932,40704,1.38K,-3.37%,42.88535528
1/17/2024,42778,"43,163",43215,42237,0.80K,-0.89%,45.12344677
1/16/2024,43163,"42,508",43588,42107,0.70K,1.54%,42.10080935
1/15/2024,42508,"41,737",43359,41705,0.93K,1.85%,38.80564936
1/14/2024,41737,"42,847",43075,41719,1.10K,-2.59%,45.42795979
1/13/2024,42847,"42,831",43250,42441,1.04K,0.04%,45.35177397
1/12/2024,42831,"46,377",46508,41574,3.78K,-7.65%,60.97311359
1/11/2024,46377,"46,636",48750,45650,5.42K,-0.56%,61.83132639
1/10/2024,46636,"46,113",47572,44352,5.05K,1.13%,59.0094421
1/9/2024,46113,"46,941",47845,45133,3.87K,-1.76%,61.9687147
1/8/2024,46941,"43,960",47205,43244,3.83K,6.78%,48.41648574
1/7/2024,43960,"44,005",44500,43638,0.57K,-0.10%,48.59922972
1/6/2024,44005,"44,189",44263,43461,0.74K,-0.42%,49.38876062
1/5/2024,44189,"44,221",44415,42746,1.89K,-0.07%,49.5339436
1/4/2024,44221,"42,869",44798,42673,1.85K,3.15%,43.81514984
1/3/2024,42869,"44,991",45559,40499,4.19K,-4.72%,52.98904856
1/2/2024,44991,"44,175",45892,44175,3.10K,1.85%,49.63295319
1/1/2024,44175,"42,323",44190,42232,1.16K,4.38%,42.97952743
12/31/2023,42323,"42,199",42938,42023,0.66K,0.29%,42.56807035
12/30/2023,42199,"42,139",42664,41585,0.67K,0.14%,42.3567701
12/29/2023,42139,"42,617",43168,41433,1.64K,-1.12%,44.71134957
12/28/2023,42617,"43,476",43793,42388,1.09K,-1.98%,48.76184786
12/27/2023,43476,"42,568",43666,42178,1.02K,2.13%,45.00829614
12/26/2023,42568,"43,641",43649,41772,1.99K,-2.46%,49.91478018
12/25/2023,43641,"43,026",43880,42784,0.84K,1.43%,47.30934526
12/24/2023,43026,"43,801",43975,42700,0.79K,-1.77%,50.79490411
12/23/2023,43801,"44,038",44068,43342,0.66K,-0.54%,51.8440127
12/22/2023,44038,"43,890",44444,43480,0.99K,0.34%,51.11114759
12/21/2023,43890,"43,662",44250,43363,1.17K,0.52%,49.93994688
12/20/2023,43662,"42,315",44336,42245,2.18K,3.18%,43.58553312
12/19/2023,42315,"42,672",43429,41850,0.96K,-0.84%,45.5625505
12/18/2023,42672,"41,406",42753,40556,1.46K,3.06%,40.18445779
12/17/2023,41406,"42,328",42442,41304,1.11K,-2.18%,45.25278011
12/16/2023,42328,"41,961",42746,41714,0.65K,0.87%,43.6667167
12/15/2023,41961,"43,064",43106,41742,1.01K,-2.56%,49.4061278
12/14/2023,43064,"42,924",43434,41601,1.67K,0.33%,48.7275278
12/13/2023,42924,"41,501",43424,40682,1.45K,3.43%,42.35898427
12/12/2023,41501,"41,287",42113,40733,0.90K,0.52%,41.48095688
12/11/2023,41287,"43,809",43840,40286,3.00K,-5.76%,53.66936024
12/10/2023,43809,"43,749",44065,43625,0.94K,0.14%,53.38448447
12/9/2023,43749,"44,173",44362,43629,1.28K,-0.96%,55.19440949
12/8/2023,44173,"43,290",44699,43101,1.96K,2.04%,50.7731713
12/7/2023,43290,"43,814",44091,42881,2.94K,-1.20%,53.17047912
12/6/2023,43814,"44,112",44285,43444,5.13K,-0.68%,
